Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Anemoia-ESP32-SMD\Project Outputs for Anemoia-ESP32-SMD\Pick Place\Pick Place for Anemoia-ESP32-SMD.csv

========================================================================================================================
File Design Information:

Date:       18/03/26
Time:       12:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R34","0O, 75V","TopLayer","RES_0OHM","14.1000mm","-14.4000mm","180","RES 0O ±1% 100mW 0603","14.1000mm","-14.4000mm","14.9500mm","-14.4000mm"
"F2","1.5A 3A","TopLayer","PTC_1812","11.6000mm","-4.3000mm","270","24V 1.5A 20A 3A 40mO 1812 PTC Resettable Fuses RoHS","11.6000mm","-4.3000mm","11.6000mm","-1.6850mm"
"F1","1.5A 3A","TopLayer","PTC_1812","8.5000mm","-29.7500mm","180","24V 1.5A 20A 3A 40mO 1812 PTC Resettable Fuses RoHS","8.5000mm","-29.7500mm","11.1151mm","-29.7500mm"
"R33","0O, 75V","TopLayer","RES_0OHM","15.5000mm","-12.4000mm","270","RES 0O ±1% 100mW 0603","15.5000mm","-12.4000mm","15.5000mm","-11.5500mm"
"R32","0O, 75V","TopLayer","RES_0OHM","14.2000mm","-12.4000mm","270","RES 0O ±1% 100mW 0603","14.2000mm","-12.4000mm","14.2000mm","-11.5500mm"
"R25","10KO","TopLayer","RES_0402","79.3750mm","-35.6000mm","180","RES 10K OHM 1% 1/16W 0402","79.3750mm","-35.6000mm","79.7500mm","-35.6000mm"
"R7","1.5KO","TopLayer","RES_0603","30.6000mm","-13.4000mm","270","RES 1.5kO ±1% 100mW 0603","30.6000mm","-13.4000mm","30.6000mm","-12.7500mm"
"R3","1.5KO","TopLayer","RES_0603","28.0750mm","-13.2500mm","270","RES 1.5kO ±1% 100mW 0603","28.0750mm","-13.2500mm","28.0750mm","-12.6000mm"
"C16","0.1uF, 50V","TopLayer","CAP_CER_0603","33.5000mm","-5.6994mm","90","CAP CER 0.1UF 50V X7R 0603","33.5000mm","-5.6994mm","33.5000mm","-6.4000mm"
"C15","0.1uF, 50V","TopLayer","CAP_CER_0603","24.7006mm","-5.5000mm","0","CAP CER 0.1UF 50V X7R 0603","24.7006mm","-5.5000mm","24.0000mm","-5.5000mm"
"C4","1uF, 35V","TopLayer","CAP_CER_SAMSUNG_0402","79.1000mm","-34.2000mm","0","CAP CER 1uF 35V ±10% X5R 0402","79.1000mm","-34.2000mm","78.4730mm","-34.2000mm"
"D5","TPD1E01B04DPYR","TopLayer","X1-SON-2","19.7500mm","-9.5000mm","180","3.6VWM 9VC X1SON-2(0.6x1)","19.7500mm","-9.5000mm","20.2500mm","-9.5000mm"
"D4","TPD1E01B04DPYR","TopLayer","X1-SON-2","17.5000mm","-9.5000mm","180","3.6VWM 9VC X1SON-2(0.6x1)","17.5000mm","-9.5000mm","18.0000mm","-9.5000mm"
"PWR","1A, 6V","TopLayer","MK-12C02-G020","29.0000mm","-2.5000mm","180","Surface Mount, Right Angle 1A SPDT 6V Black 10,000 Cycles SMD,6.6x1.4mm Slide Switches RoHS","29.0000mm","-2.5000mm","31.2501mm","-3.9907mm"
"T2","L8050QLT1G","TopLayer","SOT-23","36.2000mm","-48.8000mm","180","TRANS NPN 25V 800mA SOT-23","36.2000mm","-48.8000mm","35.2000mm","-47.8500mm"
"R5","1.5KO","TopLayer","RES_0603","13.3000mm","-37.1500mm","90","RES 1.5kO ±1% 100mW 0603","13.3000mm","-37.1500mm","13.3000mm","-37.8000mm"
"USB1","KH-TYPE-C-16P","TopLayer","USB-C-SMD_KH-TYPE-C-16P","18.5000mm","-5.2500mm","0","CONN RCPT Type-C 16POS SMD R/A","18.5000mm","-5.2500mm","22.8200mm","-7.0375mm"
"Up","TS-1187A-B-A-B","BottomLayer","SWITCH_TACTILE_SMD-4P,5.1X5.1MM","108.2500mm","-18.0000mm","270","Without Bracket 5.1mm 12V 5.1mm Round Button No SPST 50mA SMD-4P,5.1x5.1mm Tactile Switches RoHS","108.2500mm","-18.0000mm","106.3750mm","-15.0000mm"
